id_tabela,nome_coluna,chave,cobertura_temporal,valor
microdados,c007c,4,2020-05(1)2020-11,"Secretária, recepcionista"
microdados,c0104,4,2020-05(1)2020-11,Não remunerado
microdados,c007d,4,2020-05(1)2020-11,"Fornecimento de eletricidade e gás, água, esgoto e coleta de lixo"
microdados,c005,4,2020-05(1)2020-11,2 anos ou mais
microdados,c016,4,2020-05(1)2020-11,Não quer trabalhar ou é aposentado
microdados,a005,5,2020-05(1)2020-11,Médio completo
microdados,a007a,5,2020-05(1)2020-11,Não conseguiu se concentrar
microdados,c007,5,2020-05(1)2020-11,Empregado do setor público (inclusive empresas de economia mista)
microdados,c003,5,2020-05(1)2020-11,"Outro tipo de licença remunerada (estudo, paternidade, casamento, licença prêmio, etc.)"
microdados,c007d,5,2020-05(1)2020-11,Construção
microdados,c016,5,2020-05(1)2020-11,Não tinha experiência profissional ou qualificação
microdados,c007c,5,2020-05(1)2020-11,Operador de Telemarketing
microdados,f001,5,2020-05(1)2020-11,Cedido por familiar
microdados,a008,5,2020-05(1)2020-11,5 dias
microdados,a004,5,2020-05(1)2020-11,Indígena
microdados,a001a,5,2020-05(1)2020-11,Filho(a) somente do responsável
microdados,a001a,6,2020-05(1)2020-11,Filho(a) somente do cônjuge
microdados,c016,6,2020-05(1)2020-11,Acha que não vai encontrar trabalho por ser muito jovem ou idoso
microdados,c003,6,2020-05(1)2020-11,"Afastamento do próprio negócio/empresa por motivo de gestação, saúde, acidente, etc., sem ser remunerado por instituto de previdência"
microdados,c007c,6,2020-05(1)2020-11,"Comerciante (dono do bar, da loja etc.)"
microdados,a007a,6,2020-05(1)2020-11,Outro motivo. Especifique.
microdados,a008,6,2020-05(1)2020-11,6 ou 7 dias
microdados,c007,6,2020-05(1)2020-11,Empregador
microdados,c007d,6,2020-05(1)2020-11,Comércio no atacado e varejo;
microdados,a005,6,2020-05(1)2020-11,Superior incompleto
microdados,f001,6,2020-05(1)2020-11,Cedido de outra forma
microdados,a005,7,2020-05(1)2020-11,Superior completo
microdados,f001,7,2020-05(1)2020-11,Outra condição
microdados,c016,7,2020-05(1)2020-11,Não havia trabalho na localidade
microdados,c003,7,2020-05(1)2020-11,"Fatores ocasionais (mau tempo, paralisação nos serviços de transportes, etc.)"
microdados,c007c,7,2020-05(1)2020-11,"Balconista, vendedor de loja"
microdados,c007d,7,2020-05(1)2020-11,Reparação de veículos automotores e motocicletas
microdados,a001a,7,2020-05(1)2020-11,Genro ou nora
microdados,c007,7,2020-05(1)2020-11,Conta própria
microdados,c016,8,2020-05(1)2020-11,Tinha que cuidar dos afazeres domésticos e ou de parentes
microdados,c007c,8,2020-05(1)2020-11,"Vendedor a domicílio, representante de vendas, vendedor de catálogo (Avon, Natura etc.)"
microdados,a001a,8,2020-05(1)2020-11,"Pai, mãe, padrasto ou madrasta"
microdados,c007,8,2020-05(1)2020-11,Trabalhador familiar não remunerado em ajuda a membro do domicílio ou parente
microdados,a005,8,2020-05(1)2020-11,"Pós-graduação, mestrado ou doutorado"
microdados,c007d,8,2020-05(1)2020-11,Transporte de passageiros
microdados,c007d,9,2020-05(1)2020-11,Transporte de mercadorias
microdados,a001a,9,2020-05(1)2020-11,Sogro(a)
microdados,c007,9,2020-05(1)2020-11,"Estava fora do mercado de trabalho (fazia apenas afazeres domésticos, cuidados de pessoas ou produção para próprio consumo)"
microdados,c007c,9,2020-05(1)2020-11,"Vendedor ambulante (feirante, camelô, comerciante de rua, quiosque)"
microdados,c016,9,2020-05(1)2020-11,Estava aguardando resposta de medida tomada para conseguir trabalho
microdados,c007c,10,2020-05(1)2020-11,"Cozinheiro e garçon (de restaurantes, empresas)"
microdados,c007d,10,2020-05(1)2020-11,"Armazenamento, correios e serviços de entregas"
microdados,a001a,10,2020-05(1)2020-11,Neto(a)
microdados,a001a,11,2020-05(1)2020-11,Bisneto(a)
microdados,c007c,11,2020-05(1)2020-11,"Padeiro, açougueiro e doceiro"
microdados,capital,11,2020-05(1)2020-11,Município de Porto Velho (RO)
microdados,c007d,11,2020-05(1)2020-11,"Hospedagem (hotéis, pousadas etc.)"
microdados,c007c,12,2020-05(1)2020-11,"Agricultor, criador de animais, pescador, silvicultor e jardineiro"
microdados,capital,12,2020-05(1)2020-11,Município de Rio Branco (AC)
microdados,c007d,12,2020-05(1)2020-11,"Serviço de alimentação (bares, restaurantes, ambulantes de alimentação)"
microdados,a001a,12,2020-05(1)2020-11,Irmão ou irmã
microdados,capital,13,2020-05(1)2020-11,Município de Manaus (AM)
microdados,c007d,13,2020-05(1)2020-11,"Informação e comunicação (jornais, rádio e televisão, telecomunicações e informática)"
microdados,rm_ride,13,2020-05(1)2020-11,Região Metropolitana de Manaus (AM)
microdados,a001a,13,2020-05(1)2020-11,Avô ou avó
microdados,c007c,13,2020-05(1)2020-11,"Auxiliar da agropecuária (colhedor de frutas, boia fria, etc.)"
microdados,capital,14,2020-05(1)2020-11,Município de Boa Vista (RR)
microdados,c007d,14,2020-05(1)2020-11,"Bancos, atividades financeiras e de seguros"
microdados,c007c,14,2020-05(1)2020-11,"Motorista (de aplicativo, de taxi, de van, de mototáxi, de ônibus)"
microdados,a001a,14,2020-05(1)2020-11,Outro parente
microdados,capital,15,2020-05(1)2020-11,Município de Belém (PA)
microdados,c007d,15,2020-05(1)2020-11,Atividades imobiliárias
microdados,rm_ride,15,2020-05(1)2020-11,Região Metropolitana de Belém (PA)
microdados,c007c,15,2020-05(1)2020-11,"Motorista de caminhão (caminhoneiro),"
microdados,a001a,15,2020-05(1)2020-11,Agregado(a) - Não parente que não compartilha despesas
microdados,a001a,16,2020-05(1)2020-11,Convivente - Não parente que compartilha despesas
microdados,c007c,16,2020-05(1)2020-11,"Motoboy,"
microdados,capital,16,2020-05(1)2020-11,Município de Macapá (AP)
microdados,rm_ride,16,2020-05(1)2020-11,Região Metropolitana de Macapá (AP)
microdados,c007d,16,2020-05(1)2020-11,"Escritórios de advocacia, engenharia, publicidade e veterinária (Atividades profissionais, científicas e técnicas)"
microdados,c007d,17,2020-05(1)2020-11,"Atividades de locação de mão de obra, segurança, limpeza, paisagismo e teleatendimento"
microdados,capital,17,2020-05(1)2020-11,Município de Palmas (TO)
microdados,c007c,17,2020-05(1)2020-11,"Entregador de mercadorias (de restaurante, de farmácia, de loja, Uber Eats, IFood, Rappy etc.)"
microdados,a001a,17,2020-05(1)2020-11,Pensionista
microdados,a001a,18,2020-05(1)2020-11,Empregado(a) doméstico(a)
microdados,c007d,18,2020-05(1)2020-11,"Administração pública (governo federal, estadual e municipal)"
microdados,c007c,18,2020-05(1)2020-11,"Pedreiro, servente de pedreiro, pintor, eletricista, marceneiro"
microdados,c007d,19,2020-05(1)2020-11,Educação
microdados,c007c,19,2020-05(1)2020-11,"Mecânico de veículos, máquinas industriais etc."
microdados,a001a,19,2020-05(1)2020-11,Parente do(a) empregado(a) doméstico(a)
microdados,c007d,20,2020-05(1)2020-11,Saúde humana e assistência social
microdados,c007c,20,2020-05(1)2020-11,"Artesão, costureiro e sapateiro"
microdados,capital,21,2020-05(1)2020-11,Município de São Luís (MA)
microdados,c007c,21,2020-05(1)2020-11,"Cabeleireiro, manicure e afins"
microdados,c007d,21,2020-05(1)2020-11,"Organizações religiosas, sindicatos e associações"
microdados,rm_ride,21,2020-05(1)2020-11,Região Metropolitana de Grande São Luís (MA)
microdados,c007d,22,2020-05(1)2020-11,"Atividade artísticas, esportivas e de recreação"
microdados,rm_ride,22,2020-05(1)2020-11,Região Administrativa Integrada de Desenvolvimento da Grande Teresina (PI)
microdados,capital,22,2020-05(1)2020-11,Município de Teresina (PI)
microdados,c007c,22,2020-05(1)2020-11,"Operador de máquinas, montador na indústria;"
microdados,rm_ride,23,2020-05(1)2020-11,Região Metropolitana de Fortaleza (CE)
microdados,c007d,23,2020-05(1)2020-11,"Cabeleireiros, tratamento de beleza e serviços pessoais"
microdados,capital,23,2020-05(1)2020-11,Município de Fortaleza (CE)
microdados,c007c,23,2020-05(1)2020-11,"Auxiliar de produção, de carga e descarga;"
microdados,c007c,24,2020-05(1)2020-11,"Professor da educação infantil, de ensino fundamental, médio ou superior,"
microdados,capital,24,2020-05(1)2020-11,Município de Natal (RN)
microdados,rm_ride,24,2020-05(1)2020-11,Região Metropolitana de Natal (RN)
microdados,c007d,24,2020-05(1)2020-11,Serviço doméstico remunerado (será imputado da posição na ocupação)
microdados,rm_ride,25,2020-05(1)2020-11,Região Metropolitana de João Pessoa (PB)
microdados,c007d,25,2020-05(1)2020-11,Outro
microdados,capital,25,2020-05(1)2020-11,Município de João Pessoa (PB)
microdados,c007c,25,2020-05(1)2020-11,"Pedagogo, professor de idiomas, música, arte e reforço escolar"
microdados,capital,26,2020-05(1)2020-11,Município de Recife (PE)
microdados,rm_ride,26,2020-05(1)2020-11,Região Metropolitana de Recife (PE)
microdados,c007c,26,2020-05(1)2020-11,"Médico, enfermeiro, profissionais de saúde de nível superior"
microdados,c007c,27,2020-05(1)2020-11,"Técnico, profissional da saúde de nível médio"
microdados,capital,27,2020-05(1)2020-11,Município de Maceió (AL)
microdados,rm_ride,27,2020-05(1)2020-11,Região Metropolitana de Maceió (AL)
microdados,capital,28,2020-05(1)2020-11,Município de Aracaju (SE)
microdados,rm_ride,28,2020-05(1)2020-11,Região Metropolitana de Aracaju (SE)
microdados,c007c,28,2020-05(1)2020-11,"Cuidador de crianças, doentes ou idosos"
microdados,rm_ride,29,2020-05(1)2020-11,Região Metropolitana de Salvador (BA)
microdados,c007c,29,2020-05(1)2020-11,"Segurança, vigilante, outro trabalhador dos serviços de proteção"
microdados,capital,29,2020-05(1)2020-11,Município de Salvador (BA)
microdados,c007c,30,2020-05(1)2020-11,Policial civil
microdados,c007c,31,2020-05(1)2020-11,"Porteiro, zelador"
microdados,rm_ride,31,2020-05(1)2020-11,Região Metropolitana de Belo Horizonte (MG)
